,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Denmark,10,3971,2153,184,437,43990,2252,65682,3,0,130447,4092,10900,32,2614,4768,1290,4,2146,0,373,273,88406,116,49,160,0,883,111341,2565,361,612,27291,2291,269,18173,321,589,56,0,0,6,1210,77430,8698,23,0,4379,40485,51003,3109,3643,6853,5398,20,5,38892,1,387,2,0,15,4,8,0,5,10,0,1749,1028,2770,61,139,470,2,0,32,26044,2386,807,0,11,15747,22620,5,1330,65,37,2,3260,9,7546,14,3,29,0,428,2515,84,100,0,0,1163,8,13393,0,0,2,1354,143,1622,90,22,4,262,33,90,6,0,464,736,75,1626,3274,1679,19,31699,81,45,2622,97,451,5,7,22,9439,25,4041,9,1949,4029,19,0,251,4,11082,0,31,119,339,8721,331,0,1295,1610,87,144,24652,27,386,218,0,0,0,2015,353,6653,178,12,2,31,5,0,880,0,5186,559,586,0,210,1,2,723,69,18283,0,10,163,18,101,0,0,0,21,0,0,2103,573,9707,433,108,0,0,74,0,164,0,7,740,2075,0,2564,0,0,494,0,0,0,1980,0,121,0,2,20,22,0,0,118,0,0
South Africa,1,13077,1770,165,427,19756,7481,34836,34,0,4212,1061278,16413,24,817,1648,1935,0,1947,0,18,5266,3649,7,1107,3582,0,3924,62209,619,3866,71,8856,415,88,4569,17279,288,226,269,96,6,2838,2153,86,6,0,968,14942,3464,1848,0,1236,11391,134,12,2115,9,531,1082,0,43,82,0,51,91,1434,0,3747,479,5805,20,141,584,0,0,11802,13664,7918,833,359,5036,4081,4822,7,758,16,7,7,6052,200,380,194,3,62,505,24,1979,130,0,0,0,146,123,3401,0,0,12,189,209,159,103,3463,11061,60,0,14436,43,3,1854,62,32,216,3496,322,25656,1821,1036,42,206,121,15,82,121,435,3484,3356,893,0,22,215,0,2,19,0,921,121,71,1299,0,571,61,0,11,262,82,595,1231,17,1224,24,0,5,0,84,389,759,651,128,9,12,87,0,196,0,94,2216,328,0,54,12,2,2692,8,713,0,0,0,1,8,0,0,0,46,0,0,286,1582,73,26,14,0,0,103,0,191,1285,48,68,465,0,2718,0,0,9769,1475,0,0,8,33,40,0,0,822,0,0,9,26,0,0
United Arab Emirates,3,14831,74602,3057,9532,59295,8022,74135,14,0,11873,15264,72,51,11871,58786,24825,0,32342,0,7,20567,18919,14090,1133,19957,3,175722,114679,2890,4103,698,24365,18325,466,34162,62,37768,13147,807,386,983,1370,3610,94,6661,0,13939,36148,7526,27101,0,7180,502984,31,16,66126,16,48449,181,0,42,977,0,217,350,375,14,2273,2594,10657,11125,583,190,2464,0,859,19871,9603,879,237,969,9599,8795,1,10751,27,21,24,4268,297,9811,1217,2950,25,0,153,152022,65,33,1,0,195,139,5553,0,0,50,148,29016,85,10759,370,166,650,1,1223,4,12,3012,10403,17,3799,255,27084,822,14007,1758,16,19247,21245,270,71,229,844,6128,431,4350,0,964,6572,29,0,863,1,5881,38,121,953,643,8525,6593,13,6,2030,1032,1199,13709,27,32021,276,10,1,0,496,19175,10658,8519,188,0,14,27,0,12779,0,1630,8527,4873,2,409,2462,9,6594,0,4750,1,0,3230,1,4209,0,0,0,4,27,0,1055,11601,741,92,27,0,0,33,0,65597,11,320,204,1040,6,28007,0,0,4004,10,12,0,825,0,34,0,2,30,0,0,3,6,0,0
Venezuela,0,3,43,0,6,191,638,230,87,0,15,22,111,111127,0,214,44,0,62,0,77,0,8707,0,0,0,0,36,210,1121,0,13654,157,0,16298,606,0,25,3,0,0,0,1913,10,0,0,0,2,1084,16,4,0,58,80,138,25,1074,11,5,0,0,0,0,0,0,0,0,0,2,0,127,0,0,1662,0,0,0,82,0,1500,0,6,22,74,1,10,0,410,0,0,0,4,0,0,57,0,1208,2,152,5582,0,0,1182,0,1447,0,0,0,8306,10,823,3,0,0,0,0,0,4,0,0,0,33,4,66,287,0,4,0,50,11,0,0,0,0,0,10,0,0,0,0,1,8,0,3,21,9,0,0,0,0,98,0,0,0,3,0,0,12,0,0,0,0,0,0,0,1,10,0,0,19,75,0,0,0,0,7,13,22,0,2,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,8,64,0,0,61,0,0,16,0,32,0,0,0,5,0,3,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0
Indonesia,4,128980,5402,4,332,10447,518,10521,23,0,3135,817,9328,0,6259623,13656,29983,1,18821,0,0,368,3000,4,29,195,56,102979,11096,115,49,46,3315,3896,45,8090,14,2685,110,2,0,13,142,1477,41,858,14,535,7660,1562,54041,0,906,30032,10,0,1575,0,3370,11,0,0,8,14,0,55,47,26,9998,54,2796,45,2715,40,0,0,98,8447,120,155,45,46,1331,1764,8,265306,572,3,180,67,36,743,22,2,5,0,73,1044,8,20,8730,10,13,122,1127,0,0,1214,78,783,12,227,24,7,8049,0,10,0,2,16,1517,0,456,379,223,17,64021,13,10,64,42,0,0,262,12,482,6,21456,147,20,1145,21,0,138,0,1679,2,6,22,0,1607,48,0,0,356,3721,76,1698,33,2723,36,0,0,0,747,30625,2590,31673,2,0,27,0,0,873,0,351,1847,278,0,28,0,0,54,0,1081,0,0,55,0,15,0,0,0,1,14,0,28,19469,294,18,2,0,0,9,0,699,0,4,108,41,0,149403,0,0,448,0,0,0,0,0,31,0,10,0,0,0,0,23,0,0
Russian Federation,8,1711,6998,46,883,25803,2264,103912,8,0,4620,1662,64239,198,12549,3914238,28165,0,3003,0,33,375,53916,1488,71,223,3,2177,34090,4434,114,232,23955,16345,424,73472,105,2028,217,101,0,11,921,3042,339,92924,0,2450,46055,9594,16927,0,8575,19739,25,4,79579,1,621,21,0,19,66,0,0,13,18,6,641,13997,2752,51115,476,335,367,0,31,20254,415,338,37,240,8258,24652,10,2179,107,39,10,2056,33,2402,9,6765,34,0,249,708,50,4,0,0,10604,1875,6813,0,0,54,11132,1532,234,37666,34,23,473,10,63,0,5,1940,295,164,10195,32910,756,28,127476,96,25,1592,548,1,4,77,45,1872,5,51596,2,159,8743,16,19,36775,0,37562,47,24,44,4677,19083,8095,0,33,1390,57,91,12276,0,679,26580,0,3,0,2625,28124,95517,806,29,0,16,0,0,9170,0,17230,1176,1011,0,72,70729,0,54,0,6480,0,6,75937,4,48818,0,0,0,0,15,0,1336,3136,4667,7286,20,0,0,45,0,327,0,45,2617,688,0,2448,0,0,2263,0,4,0,218,0,12,0,6,0,9,0,8,24,0,0
China,2,52358,2858,51,433,81778,1466,20302,16,0,1202,3151,26589,105,30254,38180,8776731,4,14807,0,2,688,12217,4539,275,6337,68,1750,15233,1094,394,99,2038,4235,696,6659,103,128,222,116,113,48,521,506,170,715,0,796,15131,1292,231796,0,1534,7902,1,0,8781,1,483,72,0,7,78,0,10,58,125,3,14628,140,31981,885,12560,176,3,0,156,7751,1296,117,107,257,1783,1427,3,72117,7420,35,69,595,59,233,15,103,9,0,125,3738,11,12,332,0,249,2114,1975,0,0,15807,52,49,30,114,1919,155,51965,0,1042,2,0,47,3149,8,2416,845,138,216,202895,154,2,605,254,15,13,186,75,648,48,13625,12,67,184,7,3,1061,0,1436,95,35,134,10,2284,434,8,21,108,505,122,1360,31,5209,7,0,0,0,40,136691,1118,37114,67,0,30,1,2,3443,0,39,526,139,334,30,670,0,349,0,3477,19,0,92,0,26,0,0,0,0,0,0,46,30324,79,15,1,0,0,8,0,228,53,67,42,44,0,44995,0,0,175,0,3,0,45,0,3,0,204,2,0,0,0,28,0,0
Western Samoa,0,3783,0,0,0,382,0,1,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8026,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,8,36300,2596,32,147,78957,2400,8899,48,1,1947,1951,37002,23,17009,2905,23981,1,2054963,0,52,646,7254,8,263,187,2916,40099,16829,385,353,71,2575,770,926,3458,52,2625,61,22,42,6,207,2711,75,32,41,661,8172,1789,121645,0,1881,8428,0,21,2158,3,4760,11,56,2,53,0,8,5,114,0,6305,629,27707,48,709,197,0,0,164,5137,118,437,149,338,2234,2876,9,30284,216,28,116,225,30,165,7,4,12,0,47,427,224,170,0,13,41,70,708,0,0,1650,139,3312,130,16,19,10,2748,0,74,3,9,94,231,0,47,3184,685,8,36393,45,4,95,0,16,5,137,21,2239,19,13883,26,18,140,0,0,18,2,931,314,33,19,0,458,8,0,21,146,1962,183,1244,24,496,0,0,0,0,145,185960,395,44666,21,0,47,76,0,176,0,119,12691,79,0,40,0,0,51,0,713,2,4,18,0,0,0,0,0,1,195,0,519,14308,182,3,76,0,0,85,75,12008,0,320,74,36,0,78670,0,0,171,0,0,0,3,0,79,0,657,5,0,0,0,60,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,123.00001,0,0,0,49901.99973,554.99989,1160.00006,1,0,341.00015,29,8,77.00002,7,0,0,0,28,0,11253.0003,5,2357.00043,0,0,7,0,0,739,14891.00386,0,3936.99954,332.99994,0,5682.00029,14,0,0,0,0,0,0,362.99987,107,0,0,0,51.99998,2984.00007,110,115.00013,0,32,47.99999,97,3,205.00008,5232.99981,0,0,0,0,0,0,0,0,0,0,0,0,6968.00284,0,0,565.00006,0,0,0,708.00008,15,272.00012,0,0,171.00004,240.00001,0,12,0,108.99999,0,0,0,0,0,0,49,0,582.00007,0,135.99999,88,0,0,534.99993,0,66.00001,0,0,0,1395.00016,0,11719.00146,0,0,0,0,5,0,1121.99999,0,0,0,3745.00017,0,455,0,0,0,0,0,0,0,0,0,0,0,89,0,2,0,0,0,0,0,0,0,126.99995,0,0,0,0,46,0,0,0,0,0,1,66,0,0,0,0,0,0,0,86.00004,8,36,9,9,79,92.99999,0,0,0,0,19,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,44,0,0,5,0,0,0,3519.00023,0,0,232.99998,0,0,0,2,0,5,0,5,0,0,0,0,43,0,0,0,123.00001,0,0,0,0,0,0,0,0,0
